Barcode,IssueDate,IsActive,SSN
10000,2018-03-25 23:21:25.350,1,0203811554
10001,2015-09-02 00:49:06.020,0,0208022816
10002,2016-05-02 06:41:10.050,1,0205661611
10003,2015-04-04 10:27:32.560,1,0110623866
10004,2018-02-13 17:18:04.200,1,0008983461
10005,2016-07-20 15:04:50.780,1,0302560716
10006,2019-02-06 05:41:21.970,1,0211021508
10007,2013-12-30 13:36:06.130,0,0105912617
10008,2020-04-04 09:42:42.610,1,0301446472
10009,2019-02-22 04:38:03.360,1,0011568789
10010,2015-09-15 07:17:18.780,1,0012499612
10011,2019-11-07 23:53:43.190,0,0106918168
10012,2014-06-10 20:52:23.100,0,0200394826
10013,2015-05-23 11:23:08.420,0,0107002741
10014,2018-04-07 05:13:35.190,1,0301655953
10015,2014-01-06 03:18:30.420,0,0001357938
10016,2019-05-10 05:10:20.650,1,0209346062
10017,2020-01-12 13:39:28.940,1,0302302714
10018,2016-05-11 12:50:02.850,1,0202178889
10019,2016-02-09 07:07:46.080,0,0100765270
10020,2018-04-28 01:27:28.630,0,0208007107
10021,2020-08-24 03:03:10.650,1,0208742853
10022,2020-10-19 02:15:28.690,1,0302195465
10023,2014-01-21 05:35:38.090,1,0001506930
10024,2020-02-07 06:43:11.240,0,0202767776
10025,2014-12-04 20:18:23.940,0,0109316234
10026,2016-03-27 23:35:56.950,1,0212418043
10027,2017-08-31 17:52:58.110,1,0202431823
10028,2019-12-16 19:53:41.290,1,0110086670
10029,2019-01-23 17:42:34.820,0,0003695853
10030,2019-11-23 20:02:09.170,1,0008481424
10031,2014-07-30 12:41:57.160,1,0106394428
10032,2019-05-05 01:22:17.060,1,0012988970
10033,2016-11-05 16:55:10.990,1,0302068208
10034,2019-09-29 21:48:11.530,1,0200872019
10035,2019-09-10 14:02:07.280,0,0205510079
10036,2017-03-01 02:06:14.990,1,0302879544
10037,2016-04-28 00:49:55.770,1,0103641140
10038,2019-10-10 19:55:53.320,1,0102097142
10039,2016-04-26 14:32:43.860,0,0300344969
10040,2014-10-19 06:53:06.760,0,0108455354
10041,2015-08-08 04:30:36.760,0,0203566778
10042,2019-06-24 10:50:50.240,1,0005252468
10043,2014-05-25 01:23:31.910,1,0302733470
10044,2016-12-13 20:35:23.330,0,0211021914
10045,2014-11-28 16:35:30.480,1,0207338554
10046,2018-03-19 16:41:36.870,0,0101738528
10047,2018-12-15 00:16:54.700,0,0106582085
10048,2018-12-15 09:21:56.030,0,0006759330
10049,2016-11-24 08:06:24.480,0,0009589010
10050,2018-10-31 13:48:27.480,0,0104590000
10051,2014-04-05 13:39:23.100,0,0203674359
10052,2017-05-31 14:20:17.670,1,0112835043
10053,2016-05-08 06:59:27.890,0,0107985908
10054,2014-09-28 17:44:14.760,1,0008590654
10055,2018-08-01 20:18:14.700,0,0210003181
10056,2015-11-13 22:33:37.330,1,0208190923
10057,2015-09-22 01:05:31.950,0,0204260747
10058,2016-02-26 03:44:21.320,1,0209101034
10059,2016-08-21 20:59:40.250,1,0202271709
10060,2013-10-04 15:28:53.830,1,0200188037
10061,2014-11-17 11:48:23.860,1,0009447070
10062,2015-01-14 17:42:24.850,1,0210565637
10063,2014-08-22 16:00:07.780,1,0210625860
10064,2020-03-31 08:35:54.190,0,0003908106
10065,2014-07-28 18:35:21.620,0,0208590752
10066,2013-12-15 22:31:26.130,1,0007581560
10067,2018-08-05 03:57:12.120,1,0200913946
10068,2016-08-23 13:34:56.900,0,0208250514
10069,2019-07-28 15:11:27.920,1,0009479689
10070,2017-11-07 01:12:15.440,1,0302367432
10071,2016-06-23 04:20:24.870,1,0107675179
10072,2013-09-13 17:43:35.610,1,0201261506
10073,2013-06-26 22:17:18.990,1,0203680809
10074,2014-10-03 00:14:39.310,0,0207825875
10075,2016-03-01 20:56:51.860,1,0004427518
10076,2014-08-12 16:12:20.400,0,0203948088
10077,2019-11-07 00:51:56.780,0,0304393630
10078,2018-02-07 09:00:14.760,1,0005600650
